styleReferenceId,title,url,storyType,category,wordCount,openingType,primaryFocus,secondaryFocus,movementPattern,recommendedBaadOpeningType,recommendedBaadBlueprint,baadWritingLesson
"rec0NUZOSbDl6HDZM","Mirei Monticelli’s Handwoven Banana-Fiber Lamps Swell Between Material and Movement","https://www.thisiscolossal.com/2026/05/mirei-monticelli-banaca-lamps/","Spotlight (Artist + Project/Exhibition)","Design","294","Artist-practice opening","Materials, objects, or visible things","The artist / maker; The artist’s practice or process; Specific artworks or bodies of work; Cultural, social, or environmental meaning","mixed/context → material/object description → artist practice/process → mixed/context","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: mixed/context → material/object description → artist practice/process → mixed/context. Use supporting layers: The artist / maker; The artist’s practice or process; Specific artworks or bodies of work; Cultural, social, or environmental meaning. Keep the article concrete, avoid copying the source wording, and close lightly."
"rec0Tm4nafkfIpUrd","Domestic Arrangements Unfold in Kristof Santy’s Vivid Paintings","https://www.thisiscolossal.com/2026/06/kristof-santy-flattened-paintings/","Spotlight (Artist + Project/Exhibition)","Art","107","Artist-practice opening","Materials, objects, or visible things","The artist / maker; The artist’s practice or process; Specific artworks or bodies of work; Cultural, social, or environmental meaning","mixed/context → exhibition framing","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: mixed/context → exhibition framing. Use supporting layers: The artist / maker; The artist’s practice or process; Specific artworks or bodies of work; Cultural, social, or environmental meaning. Keep the article concrete, avoid copying the source wording, and close lightly."
"rec2a2KD9iswZx1pA","Willie Cole Traverses ‘Mind, Body, and Soul’ in Expressive Mixed Media Assemblages","https://www.thisiscolossal.com/2026/06/willie-cole-mind-body-soul-sculptures-assemblages/","Short Visual Art Spotlight","Art","227","Concept-led opening","Materials, objects, or visible things","Cultural, social, or environmental meaning; Specific artworks or bodies of work; The exhibition, gallery, or venue; The artist’s practice or process","meaning/context → material/object description → artist practice/process → meaning/context → practical close","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: meaning/context → material/object description → artist practice/process → meaning/context → practical close. Use supporting layers: Cultural, social, or environmental meaning; Specific artworks or bodies of work; The exhibition, gallery, or venue; The artist’s practice or process. Keep the article concrete, avoid copying the source wording, and close lightly."
"rec3rTniBZo47KnEk","Phantasmic Figures Grapple with Their Doubles in Xie Lei’s Dreamy Oil Paintings","https://www.thisiscolossal.com/2026/06/xie-lei-double-oil-paintings-exhibition/","Exhibition / Project Spotlight","Art","403","Concept-led opening","Materials, objects, or visible things","The artist / maker; The exhibition, gallery, or venue; The artist’s practice or process; Artist personal or career history","mixed/context → exhibition framing","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: mixed/context → exhibition framing. Use supporting layers: The artist / maker; The exhibition, gallery, or venue; The artist’s practice or process; Artist personal or career history. Keep the article concrete, avoid copying the source wording, and close lightly."
"rec8Uesnb58Gq8kRU","A Line of Mural Wallpapers from Astek Celebrates ‘Eterna Nouveau’","https://www.thisiscolossal.com/2026/04/astek-wallpapers-eterna-nouveau-murals-interior-design/","Spotlight (Artist + Project/Exhibition)","Design","166","Place/architecture opening","Materials, objects, or visible things","The artist’s practice or process; Practical closing information","mixed/context → material/object description → mixed/context","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: mixed/context → material/object description → mixed/context. Use supporting layers: The artist’s practice or process; Practical closing information. Keep the article concrete, avoid copying the source wording, and close lightly."
"recRhx7nC87xn0eek","Jean Shin’s Celadon Landscape Transforms Broken Porcelain into a Site-Specific Installation","https://www.thisiscolossal.com/2026/05/jean-shin-celadon-landscape-installation/","Public Art / Installation Spotlight","Art","336","Material/object opening","Materials, objects, or visible things","The artist’s practice or process; Cultural, social, or environmental meaning; The artist / maker; The exhibition, gallery, or venue","artist practice/process → mixed/context → meaning/context → material/object description → practical close","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: artist practice/process → mixed/context → meaning/context → material/object description → practical close. Use supporting layers: The artist’s practice or process; Cultural, social, or environmental meaning; The artist / maker; The exhibition, gallery, or venue. Keep the article concrete, avoid copying the source wording, and close lightly."
"recRzcYoWWOGVRb1a","Marc Fornes’ New Sculptural Pavilion Reimagines the Architectural Folly","https://www.thisiscolossal.com/2026/03/marc-fornes-lile-folie-sculpture-pavilion-north-carolina/","Spotlight (Artist + Project/Exhibition)","Design","206","Material/object opening","Materials, objects, or visible things","Specific artworks or bodies of work; Cultural, social, or environmental meaning; The artist’s practice or process; Artist personal or career history","material/object description → mixed/context → specific artwork examples → mixed/context → practical close","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: material/object description → mixed/context → specific artwork examples → mixed/context → practical close. Use supporting layers: Specific artworks or bodies of work; Cultural, social, or environmental meaning; The artist’s practice or process; Artist personal or career history. Keep the article concrete, avoid copying the source wording, and close lightly."
"recWMXwANof2SXuhz","Annalise Neil’s Cyanotypes and Mixed-Media Paintings Preserve Fleeting Encounters with Nature","https://www.thisiscolossal.com/2026/06/annalise-neil-cyanotypes-mixed-media-nature-paintings/","Artist Practice Spotlight","Art","295","Quote-led opening","Specific artworks or bodies of work","The artist / maker; Practical closing information; Cultural, social, or environmental meaning; The artist’s practice or process","mixed/context → artist practice/process → practical close","Open with a quote only if the quote is unusually strong and concrete.","BAAD Short Visual Art Spotlight","Use this as a specific artworks or bodies of work-led source. Open with a quote only if the quote is unusually strong and concrete. Shape the article movement as: mixed/context → artist practice/process → practical close. Use supporting layers: The artist / maker; Practical closing information; Cultural, social, or environmental meaning; The artist’s practice or process. Keep the article concrete, avoid copying the source wording, and close lightly."
"recXDph4OVpRpqUsi","Scale the Dramatic Verticality of Grundtvigs Kirke in David Altrath’s Dreamy Photos","https://www.thisiscolossal.com/2026/03/david-altrath-grundtvigs-church-copenhagen-photography-architecture/","Spotlight (Artist + Project/Exhibition)","Design","220","Place/architecture opening","Materials, objects, or visible things","Artist personal or career history; The artist’s practice or process; The artist / maker; Specific artworks or bodies of work","artist history → mixed/context → material/object description → mixed/context","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: artist history → mixed/context → material/object description → mixed/context. Use supporting layers: Artist personal or career history; The artist’s practice or process; The artist / maker; Specific artworks or bodies of work. Keep the article concrete, avoid copying the source wording, and close lightly."
"recXfcAwSBQiapz2x","Nasher Museum’s ‘Everything Now All At Once’ Celebrates Diversity, Resilience, and Joy","https://www.thisiscolossal.com/2026/05/nasher-museum-everything-now-all-at-once-exhibition/","Spotlight (Artist + Group Show/Appearance)","Art","261","Place/architecture opening","Specific artworks or bodies of work","The exhibition, gallery, or venue; Artist personal or career history; Materials, objects, or visible things; Practical closing information","exhibition framing → mixed/context → artist history → exhibition framing","Open with the place, structure, or spatial experience.","BAAD Short Visual Art Spotlight","Use this as a specific artworks or bodies of work-led source. Open with the place, structure, or spatial experience. Shape the article movement as: exhibition framing → mixed/context → artist history → exhibition framing. Use supporting layers: The exhibition, gallery, or venue; Artist personal or career history; Materials, objects, or visible things; Practical closing information. Keep the article concrete, avoid copying the source wording, and close lightly."
"recawN3kFmwmKpV0F","Surreal Figures Step from Leonora Carrington’s Paintings into ‘Shape of Dreams’","https://www.thisiscolossal.com/2026/06/leonora-carrington-shape-of-dreams-sculptures-jewelry/","Exhibition / Project Spotlight","Art","438","Artist personal-history opening","Materials, objects, or visible things","The exhibition, gallery, or venue; Specific artworks or bodies of work; The artist / maker; Practical closing information","artist history → mixed/context → specific artwork examples → mixed/context → material/object description → exhibition framing","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: artist history → mixed/context → specific artwork examples → mixed/context → material/object description → exhibition framing. Use supporting layers: The exhibition, gallery, or venue; Specific artworks or bodies of work; The artist / maker; Practical closing information. Keep the article concrete, avoid copying the source wording, and close lightly."
"recbFeUihuZ5b1CYR","Jongjin Park’s Slip-Cast Paper Sculptures Blur the Line Between Paper and Ceramic","https://www.thisiscolossal.com/2026/06/jongjin-park-slip-cast-paper-sculptures/","Artist Practice Spotlight","Art","374","Material/object opening","Materials, objects, or visible things","The artist’s practice or process; The artist / maker; Artist personal or career history; Specific artworks or bodies of work","material/object description → artist practice/process → material/object description → mixed/context → artist practice/process → mixed/context","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: material/object description → artist practice/process → material/object description → mixed/context → artist practice/process → mixed/context. Use supporting layers: The artist’s practice or process; The artist / maker; Artist personal or career history; Specific artworks or bodies of work. Keep the article concrete, avoid copying the source wording, and close lightly."
"recoVpVVzbebmPhDS","Meticulously Detailed Natural Specimens by Marisa Aragón Ware Emerge from Paper","https://www.thisiscolossal.com/2026/06/marisa-aragon-ware-paper-reliefs-animals-nature/","Artist Practice Spotlight","Art","370","Artist personal-history opening","Materials, objects, or visible things","Artist personal or career history; The artist’s practice or process; Specific artworks or bodies of work; Practical closing information","artist history → exhibition framing → material/object description → mixed/context → practical close","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: artist history → exhibition framing → material/object description → mixed/context → practical close. Use supporting layers: Artist personal or career history; The artist’s practice or process; Specific artworks or bodies of work; Practical closing information. Keep the article concrete, avoid copying the source wording, and close lightly."
"recv4ZCCDLIow5emV","Trung Tran Studio Incorporates Mature Trees into a Warm Brick Home in Vietnam","https://www.thisiscolossal.com/2025/12/trung-tran-studio-nang-house-bricks-vietnam/","Spotlight (Artist + Project/Exhibition)","Design","96","Artist-practice opening","Materials, objects, or visible things","The artist’s practice or process; The artist / maker; Cultural, social, or environmental meaning","artist practice/process → mixed/context","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a materials, objects, or visible things-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: artist practice/process → mixed/context. Use supporting layers: The artist’s practice or process; The artist / maker; Cultural, social, or environmental meaning. Keep the article concrete, avoid copying the source wording, and close lightly."
"recxd6HhMGxnGRoys","Vibrant Life Emanates from Meggan Joy’s Magical Collaged Silhouettes","https://www.thisiscolossal.com/2024/09/meggan-joy-fever-dream/","Spotlight (Artist + Project/Exhibition)","Art","178","Material/object opening","The artist / maker","Practical closing information; Materials, objects, or visible things; The artist’s practice or process; Artist personal or career history","material/object description → artist practice/process → mixed/context → practical close","Open with a concrete material, object, or visible transformation.","BAAD Short Visual Art Spotlight","Use this as a the artist / maker-led source. Open with a concrete material, object, or visible transformation. Shape the article movement as: material/object description → artist practice/process → mixed/context → practical close. Use supporting layers: Practical closing information; Materials, objects, or visible things; The artist’s practice or process; Artist personal or career history. Keep the article concrete, avoid copying the source wording, and close lightly."